text,category,priority,split,department,is_roman
"at near the vegetable market in north nazimabad, sarak ki halat bohot kharab hai, gaari nikalna mushkil hai for almost a month. kindly send someone to look at it in the next few days",road,medium,train,Roads & Infrastructure,1
"Please be informed that awara kutte kachra phaila dete hain since Ramzan at New Karachi Lane 3. Thannk you. Bara meherbani ho gi, jalid maspa hal karain. Again, awara kuttte kachra phaila dtee hai.",waste,critical,train,Sanitation & Solid Waste,1
"awara kutte logon ko kaat rahe hain at Lnae 3, DHA Phase 6 and nobody has come to check since this morning. this is only a suggestion for improvement. This is a minor issue, whenever it is convenient",safety,low,train,Public Safety,1
Please be informed that rain water from the last spell has still not drained out in front of near the main mosque in Nazimabad and just a routine request nothing urgent at all This is a minor issue whenever it is convenient,drainage,low,train,Drainage & Sewerage,0
Problem area Baldia Town Lane 3. Details: the graveyard boundary record at the office does not match the land on site since this morning. Regards.,other,low,test,General Administration,0
"to the concerned department, our overhead tank never fills even after four hours of supply near pechs near a government girls school. someone received an electric shock this morning shukriya.",water,critical,train,Water Supply,0
Respected sir the boundary wall of the plot is about to collapse on passers-by near House 4-B DHA Phase 6 it is a small issue but please note it for the record Thank you,safety,low,train,Public Safety,0
"Assalam o alaikum, pani ki line leak ho rahi hai for over two weeks at Gulistan-e-Johar Block 5 near Civil Hospital. We request immediate attention. Bara meherbani ho gi, jaldi masla hal karain. Again, pani ki line leak ho rahi hai.",water,high,train,Water Supply,1
Kindly note that sewage water has entered our lane at near the community centre in Gadap Town near a madrassa for over two weeks someone is going to be killed if this is not fixed today Thank you,drainage,critical,train,Drainage & Sewerage,0
"our overhead tank never fills even after four hours of supply at near the main mosque in North Nazimabad. Again, our overhead tank never fills even after four hours of supply.",water,medium,train,Water Supply,0
"To the concerned departmeny, police gashht bilkul nahi hoti in front of on University Road, and this is only a suggestion for improvement",safety,low,train,Public Safety,1
"kindly note that raat ko nashe wale jama hote hain, dar lagta hai in front of on abul hasan isphahani road, and it is causing inconvenience and should be fixed soon",safety,medium,train,Public Safety,1
"Kindly note that jo pani aata hai wo gandha aur badbudar hai since the last monsoon at on I.I. Chundrigar Road. Thank you. Again, jo pani aata hai wo gandha aur badbudar hai!!",water,critical,train,Water Supply,1
"sewage water has entered our lane at Block 5, SITE Areq.",drainage,high,train,Drainage & Sewerage,0
"gali me kooray ka bara dher lag gaya hai. Location: on Shahrah-e-Faisal. please look into it in the coming days Thank you. Bara meherbani ho gi, jaldi masla hal karain.",waste,medium,train,Sanitation & Solid Waste,1
"construction malba has been dumped on the empty plot at Block 13-D, Bahadurabad and nobody has come to check since Friday. kindly look into it whenever a team is free. Low priority, only mentioning it so it is on record??!",waste,low,train,Sanitation & Solid Waste,0
valve wala time par valve nahi kholta at on stadium road. this has been the case since friday. please look into it in the coming days,water,medium,train,Water Supply,1
"Respected sir, paani ka pressure bohot kam hai near Lyari. dengue and gastro cases have started appearing in the area We request immediate attention.",water,high,train,Water Supply,1
"At Block 13-D, DHA Phase 6, an illegal gas cylinder refilling shop could explode any day in the crowded market for several months. elderly patients live in this lane and cannot step outside",safety,high,train,Public Safety,0
"Reporting from Phase 2, DHA Phase 6: gandagi ki wajah se makhiyan bohot ho gayi hain. Bara meherbani ho gi, jaldi masla hal karain.",waste,medium,test,Sanitation & Solid Waste,1
"there is a serious risk of a fatal accident here valve wala time par valve nahi kholta at Gulshan-e-Iqbal Sector 11-B. Shukriya. Bara meherbani ho gi, jaldi masla hal karain.",water,critical,train,Water Supply,1
For since Friday now there have been repeated mobile snatching incidents here around Saddar Phase 2 Meherbani ho gi,safety,medium,test,Public Safety,0
"At Jamshed Road Block 2, dispensary hafte me sirf do din khulti hai for the last three days. our family has been facing this for several days now Bara meherbani ho gi, jaldi masla hal karain.",other,medium,train,General Administration,1
Kindly note that there are sparks coming from the connection at night in front of near the vegetable market in Gulistan-e-Johar and our family has been facing this for several days now!!!,electricity,medium,train,Electricity & Streetlights,0
"At Bahadurabad Gali No 7, gali me kooray ka bara dher lag gaya hai for over two weeks. a motorcyclist fell and broke his arm last night Bara meherbani ho gi, jaldi masla hal karain.",waste,critical,train,Sanitation & Solid Waste,1
"to the concerned department, hospital waste has been mixed with the household garbage since the last monsoon at on nishtar road. we request immediate attention.",waste,medium,train,Sanitation & Solid Waste,0
"At Garden East, there are deep potholes all along this stretch since yesterday. our faimly has been facing this for several days now",road,medium,train,Roads & Infrastructure,0
jo pani aata hai wo gandha aur badbudar hai at near the katchi abadi in Lyari.,water,medium,train,Water Supply,1
"Please be informed that nalah kachre se bhar gaya hai in front of on M.A. Jinnah Road, and there is no urgency, just registering it formally !!!!",drainage,low,train,Drainage & Sewerage,1
"the road surface has completely broken up. Location: Block A, Orangi Town. we have complained at the local office twice already with no result Shukriya. Again, the road surface has completely broken up.",road,medium,train,Roads & Infrastructure,0
"taar latak rahi hain khambe se. Location: on Tariq Road. we have complained at the local office twice already with no result Please take action. Again, taar latak rahi hain khambe se!!!",electricity,medium,train,Electricity & Streetlights,1
chamber se kala pani upar aa raha hai; this situation at near the community centre in Gadap Town has continued for two days now. please arrange for the concerned staff to check it. Kindly arrange a visit sometime this week Please do the needful.,drainage,medium,test,Drainage & Sewerage,1
"strray cattle are tied up on public land and nobody removes thme at Shah Faisal Colony. This has been the case for the last three days. low priority, only mentioning it so it is on record. There is no urgency, please handle it in the routine schedule",other,low,train,General Administration,0
this is only a suggestion for improvement. It is a small issue but plz note it for the record water is coming with very low pressure at near the katchi abadi in Shah Faisal Colony. We request immediate attention.,water,low,train,Water Supply,0
"i want to report that the meter reading is beign estimated and the bill is impossible in front of block 5, kemari, and there is no urgency, just registering it formally",electricity,low,train,Electricity & Streetlights,0
Problem area Clifton Gali No 7. Details: the local dispensary staff refuse to register walk-in patients since this morning. Awaiting your response.,other,medium,test,General Administration,0
This is to bring to your attention that residents near on Tariq Road are affected because the transformer keeps tripping again and again. kindly sehd someone to look at it in the next few days Please do the needful.,electricity,medium,test,Electricity & Streetlights,0
"Kindly note that the drain is blocked and the water is not going anywhere near Sector 5-C, Model Colony. the whole block has been suffering and tempers are rising Please take action.",drainage,high,train,Drainage & Sewerage,0
the electric pole is leaning dangerously at on Abul Hasan Isphahani Road and nobody has come to check since this morning. many families and children are affected by it every single day,electricity,high,train,Electricity & Streetlights,0
"assalam o alaikum, the road is uneven & bikes lose balance on it for two days now at block 13-d, surjani town. thank u.",road,medium,train,Roads & Infrastructure,0
"sewerage ka pani gali me phail gaya hai at Block 2, North Nazimabad and nobody has come to check sice yetserday. it is a small issue but please note it for the record Bara meherbani ho gi, jaldi masla hal karain.",drainage,low,train,Drainage & Sewerage,1
"Kindly note thaat sarak ki halat bohot kharab hai, gaari nikalna mushkil hai at near the mobile market in Federal B Area near the school van stop, for more than 20 days. it is urgent because a school is right beside it Kindly resokve it soon. Bara meherbani ho gi, jaldi mala hal karain.",road,high,train,Roads & Infrastructure,1
"Respected sir, the transformer keeps tripping again and again in front of Lyari near a primary school, and it is on the main road and traffic jams for hours every morning. Dengue and gastro cases have started appearing in the area",electricity,high,train,Electricity & Streetlights,0
"many families and children are affected by it every single day the nallah beside the colony is choked with solid waste at on Sir Shah Suleman Road near Aga Khan Hospital. We request immediate attention. Again, the nallah beside the colony is choked with solid waste??!",drainage,high,train,Drainage & Sewerage,0
unannounced load shedding is running for eight hours a day at Gali No 7 Garden East near a madrassa Again unannounced load shedding is running for eight hours a day,electricity,high,train,Electricity & Streetlights,0
"At Korangi, there have been repeated mobile snatching incidents here for over two weeks. kindly look into it whenever a team is free. There is no urgency, please handle it in the routine schedule Again, there have been repeated mobile snatching incidents here.",safety,low,train,Public Safety,0
a hgue heap of trash is lying at the corner Location: Gulshan-e-Iqbal st 14 please arange for the concerned staff to check it It is causing daily inconvenience to the residents Shukriya,waste,medium,train,Sanitation & Solid Waste,0
kachra utha nahi hai kai din se Location: SITE Area please treat this as urgent the situation is getting worse daily Kindly resolve it soon Bara meherbani ho gi jaldi masla hal karain??!,waste,high,train,Sanitation & Solid Waste,1
"Reporting an issue - the following problem at Clifton: gutter ubal raha hai. there is no urgency, please handle it in the routine schedule. A minor problem which can wait for the normal schedule",drainage,low,test,Drainage & Sewerage,1
"we have been waiting for a response for a while now there is rotting waste and an unbearable smell at on Stadium Road. Shukriya. Again, there is rotting waste and an unbearable smell.",waste,medium,train,Sanitation & Solid Waste,0
"Janab, residents near Plot 22, Saddar are affected because whatever comes out of the tap is yellow and undrinkable. kindly arrange a visit sometime this week. This has been troubling the residents of our building Meherbani ho gi!!",water,medium,test,Water Supply,0
"Ths is to bring to your attention that the following problem at Sector 11-B, Clifton: park par ghair samaji anasir ka qabza hai. more than sixty families depend on this single lane Again, park par ghair smaaji anasir ka qabza hai.",safety,high,test,Public Safety,1
"Janab, the following problem at Sector 5-C, Model Colony: voltage itna kam hai ke pankha nahi chalta. it is causing inconvenience and should be fixed soon",electricity,medium,test,Electricity & Streetlights,1
"gali me kooray ka bara dher lag gaya hai. Location: Block A, Landhi. just a routine request, nothing urgent at all Kindly resolve it soon. Again, gali me kooray ka bara dher lag gaya hai.",waste,low,train,Sanitation & Solid Waste,1
dengue & gastro cases have started appearing in the area awaa kutte logon ko kaat rahe hain at on Maripur Road near a primary school. Shukriya.,safety,high,train,Public Safety,1
the nallah beside the colony is choked wid solid watse at on Rashid Minhaas Rad,drainage,low,train,Drainage & Sewerage,0
"please be informed that there is rotting waste and an unbearable smell since friday at shah faisal colony. thank you. again, there is rotting waste and an unbearable smell.",waste,critical,train,Sanitation & Solid Waste,0
the park in our neighbourhood has been encroached by a private party — on Shahrah-e-Faisal kindly send someone to look at it in the next few days It is causing inconvenience and should be fixed soon,other,medium,test,General Administration,0
the notice board at the union council has not been updated for months at Kemari Phase 2 and nobody has come to check for the last three days. it is a small issue but please note it for the record,other,low,train,General Administration,0
"KINDLY LOOK INTO IT WHENEVER A TEAM IS FREE VALVE WALA TIME PAR VALVE NAHI KHOLTA AT BLOCK 2, FEDERAL B AREA. SHUKRIYA.",water,low,train,Water Supply,1
"Respected sir, stray dogs & cats tear open the bags & scatter the waste for the last three days at House 4-B, Lyari. plz take action. Again, stray dogs & cats tear open the bags & scatter the waste.",waste,low,train,Sanitation & Solid Waste,0
At Phase 2 Defence View the drain is blocked and the water is not going anywhere since yesterday please look into it in the coming days,drainage,medium,train,Drainage & Sewerage,0
"sarkari daftar me koi sunwai nahi hoti at Sector 11-B, Model Colony. Bara meherbani ho gi, jalid masla hal karain. Again, sarkari daftar me koi sunwai nahi hoti.",other,low,train,General Administration,1
Complaint: residents near Model Colony near Aga Khan Hospital are affected bcz raat ko connection se chingari nikalti hai. many families and children are affected by it ecery single day Regards.,electricity,high,test,Electricity & Streetlights,1
"we the residents of sector 11-b, clifton report that sewerage ka pani gali me phail gaya hai. we have been waiting for a response for a while now. it is affecting a few households on our side of the lane again, sewerage ka pani gali me phail gaya hai.",drainage,medium,test,Drainage & Sewerage,1
"Location Jamshed Road Sector 11-B - sarak beth gayi hai barish ke baad, ongoing since this morning. we have been waiting for a response for a while now Requesting the department to act.",road,medium,test,Roads & Infrastructure,1
"kachra utha nahi hai kai din se at Orangi Town and nobody has come to check for two days now. it is causing inconvenience and should be fixed soon Bara meherbani ho gi, jaldi masla hal karain.",waste,medium,train,Sanitation & Solid Waste,1
To the concerned department the main water pipe is leaking badly in front of Lyari Phase 2 and we have been waiting for a response for a while now,water,medium,train,Water Supply,0
Please be informed that a huge heap of trash is lying at the corner at Jamshed Road Block 13-D for more than 20 days low priority only mentioning it so it is on record Kindly look into it whenever a team is free We request immediate attention,waste,low,train,Sanitation & Solid Waste,0
valve wala time par valve nahi kholta at near the flyover ramp in Clifton. This has been the case since this morning. we have complained at the local offfice twice already with no result,water,medium,train,Water Supply,1
"Assalam o akaikum, footpath par dukan barha di gayi hai in front of Lane 3, Buffer Zone near Ziauddin Hospital, and it is urgent because a school is right beside it Again, footpath par dukan barha di gayi hai!!!",other,high,train,General Administration,1
"At near the petrol pump in Manghopir, hospital waste has been mixed with the household garbage for the last three days. please look into it in the coming days",waste,medium,train,Sanitation & Solid Waste,0
"Dear municipal team, residents near Federal B Area House 4-B are affected because there has been no water supply in our line. we would appreciate it if the concerned staff could check it. It is affecting a few households on our side of the lane Meherbani ho gi.",water,medium,test,Water Supply,0
"Please be informed that the drain is blocked and the water is not going anywhere near Gali No 7, Bahadurabad. kindly send someone to look at it in the next few days. We have been waiting for a response for a while now Please take action.",drainage,medium,train,Drainage & Sewerage,0
"OUR OVERHEAD TANK NEVER FILLS EVEN AFTER FOUR HOURS OF SUPPLY AT BLOCK 13-D, SITE AREA. THIS HAS BEEN THE CASE SINCE FRIDAY. IT IS CAUSING INCONVENIENCE AND SHOULD BE FIXED SOON",water,medium,train,Water Supply,0
"please arrange for the concerned staff to check it The reason is that kachra utha nahi hai kai din se, right at on University Road.",waste,medium,test,Sanitation & Solid Waste,1
a shopkeeper has extended his shop over the whoel footpath at Orangi Town Lane 3 and noboyd has come to check since yesterday. our family has been facing this for several days now,other,medium,train,General Administration,0
a very large pothole has formed in the middle of the road at New Karachi Block 13-D. This has been the case for several months. we have been waiting for a response for a while now,road,medium,train,Roads & Infrastructure,0
awara kutte logon ko kaat rahe hain at naer a bank branch in DHA Phzse 6. This has been the case for almost a month. many families and children are affected by it every sigle day,safety,high,train,Public Safety,1
st light band hai kai hafton se. location: near the union council offiec in model colony. our family has been facing this for several days now kindly resolve it soon.,electricity,medium,train,Electricity & Streetlights,1
the meter reading is being estimated and the bill is impossible at Nazimabad Block A and nobody has come to check for the last three dyas. please arrange for the concerned staff to cehck it,electricity,medium,train,Electricity & Streetlights,0
"plz be informed that the valve man is not opening our valve at the scheduled time for over two weeks at on Hub River Road. plz take action. Again, the valve man is not opening our valve at the scheduled time.",water,high,train,Water Supply,0
Kindly note that the garbage container is overflowing onto the road near Malir Lane 3. dengue and gastro cases have started appearing in the area Shukriya.,waste,high,train,Sanitation & Solid Waste,0
"gali me kooray ka bara dher lag gya hai; this situation at Street 14, Nazimabad has continued for two days now. please arrange for the concerned staff to cyeck it Regards.",waste,medium,test,Sanitation & Solid Waste,1
"To the concerned department, gali me kooray ka bara dher lag gaya hai in front of near the bus stop in Saddar, and please arrange for the concerned staff to check it. We have complained at the local office twice already with no result",waste,medium,train,Sanitation & Solid Waste,1
pani ki line leak ho rahi hai at Saddar and nobody has come to check since Friday. kindly send someone to look at it in the next few days??!,water,medium,train,Water Supply,1
"manhole ka dhakkan toota hua hai at on Korangi Road and nobody has come to check for almost a month. low priority, only mentioning it so it is on record Bara meherbani ho gi, jaldi masla hal karain.",drainage,low,train,Drainage & Sewerage,1
loadshedding ka koi schedule nahi hai at Gadap Town. This has bern the case since yesterday. it is causing inconvenience and should be fixed soon. It is causing daiily inconvenience to the residents,electricity,medium,train,Electricity & Streetlights,1
"there is no electricity in our block at Street 14, Model Colony.",electricity,high,train,Electricity & Streetlights,0
I want to report that safai bilkul nahi hoti yahaan for the past six weeks at Nazimmabad neaar a government girls school. plz take action.,waste,critical,train,Sanitation & Solid Waste,1
"pani bilkul nahi aa raha at sector 5-c, pechs near the school van stop. thiis has been the case since ramzan. it is on the main road and traffic jams for hours every morning",water,high,train,Water Supply,1
awara kutte kachra phaila dete hain at near the mobile market in Buffer Zone & nobody has come to check since the last monsoon our family has been facing this for several days now Again awara kutte kachra phaila dete hain,waste,medium,train,Sanitation & Solid Waste,1
"assalam o alaikum, loadshedding ka koi schedule nahi hai near near the bus stop in gadap town. plz look into it in the coming days. we have complained at the local office twice already wid no result kindly resolve it soon. bara meherbani ho gi, jaldi mala hal karain.",electricity,medium,train,Electricity & Streetlights,1
"to the concerned department, our overhead tank never fills evn after foru hours of supply near nar the katchi abadi in nazimabad. it is causnig inconvenience and should be fixed soon please take action.",water,medium,train,Water Supply,0
"I want to report that people are burning the garbage pile & the smoke enters our homes in front of near a bank branch in SITE Area, & just a routine request, nothing urgent at all??!",waste,low,train,Sanitation & Solid Waste,0
"Assalam o alaikum, sewerage ka pani gali me phail gaya hai since this morning at on Abul Hasan Isphahani Road. Thank you. Again, sewerage ka pani gali me phail gaya hai.",drainage,low,train,Drainage & Sewerage,1
there is no electricity in our block at near the community centre in Gulistan-e-Johar and nobody has come to check for the last three days. please arrange for the concerned staff to check it,electricity,medium,train,Electricity & Streetlights,0
"people are burning the garbage pile and the smoke enters our homes at near the community centre in dha phase 6 and nobody has come to check for the last three days. we have complained at the local office twice already with no result again, people are burning the garbage pile and the smoke enters our homes.",waste,medium,train,Sanitation & Solid Waste,0
To the concerned department grabage has not ben collected from our street for more than 20 days at Gulberg Town near a maternity home We request immediate attention,waste,high,train,Sanitation & Solid Waste,0
the garbage container is overflowing onto the road at near the katchi abadi in Malir. This has been the case since the last monsoon. it is on the main road and traffic jams for hours every morning,waste,high,train,Sanitation & Solid Waste,0
jo pani aata hai wo gandha aur badbudar hai. location: gulshan-e-iqbal block 13-d. the whole block has been suffering and tempers are rising. it is on the main road and traffic jams for hours every morning thank you.,water,high,train,Water Supply,1
"nali band hai aur pani khara hai at Block 5, Orangi Town. This has been the case since this morning. our family has been facing this for several days now",drainage,medium,train,Drainage & Sewerage,1
"the speed breaker is broken and has sharp edges. location: near the union council office in surjani town. there is no urgency, just registering it formally thank you.",road,low,train,Roads & Infrastructure,0
there is a serious risk of a fatal accident here the boundary wall of the plot is about to collapse on passers-by at Buffer Zone House 4-B near Ziauddin Hospital. Please take action.,safety,critical,train,Public Safety,0
a huge heap of trash is lying at the corner. location: near the union council office in buffer zonne. our family has been facing this for several dyas now please take action.,waste,medium,train,Sanitation & Solid Waste,0
"jo pani aata hai wo gandha aur badbudar hai. Location: Block 2, Liaquatabad. we have complained at the local office twice already with no result We request immediate attention.",water,medium,train,Water Supply,1
awara kutte logon ko kaat rahe hain at Gulshan-e-Iqbal Block 13-D.,safety,medium,train,Public Safety,1
"I want to report that a shopkeeper has extended his shop over the whole footpath for more than 20 days at near the community centre in Gadap Town near the school van stop. Thank you. Again, a shopkeeper has extended his shop over the whole footpath.",other,high,train,General Administration,0
manhloe ka dhakkan toota hua hai at near the bus stop in Gadap Town near Ziauddin Hospital and nobody has come to check for the past six weeks. a motorcyclist fell and broke his arm last night. An elderly man fell into it and had to be taken to emergency,drainage,critical,train,Drainage & Sewerage,1
"At near the community centre in New Karachi, the community hall booking process is completely opaque since Friday. low priority, only mentioning it so it is on record",other,low,train,General Administration,0
PROBLEM AREA NEAR THE PETROL PUMP IN DEFENCE VIEW NEAR ZIAUDDIN HOSPITAL. DETAILS: WHATEVER COMES OUT OF THE TAP IS YELLOW AND UNDRINKABLE FOR TWO DAYS NOW. MEHERBANI HO GI.,water,high,test,Water Supply,0
"assalam o alaikum, yahan mobile snathcing bohot ho rahi hai in front of street 14, clifton, and a child was injured here yesterday and we fear a worse accident",safety,critical,train,Public Safety,1
"Problem area Lane 3, Garden East. Details: parking ke nama par zabardasti paise liye ja rahe hain since yesterday. Awaiting your response.",other,low,test,General Administration,1
"yahan mobile snatching bohot ho rahi hai at Sector 11-,B Lyari. This has been the case for over two weeks. the entire street of about forty houses is affected Bara meherbani ho gi, jaldi masla hal karain.",safety,high,train,Public Safety,1
"at on university road, loadshedding ka koi schedule nahi hai since friday. someone received an electric shock this morning",electricity,critical,train,Electricity & Streetlights,1
"bijli ka khamba tirha ho gaya hai at block 2, garden east and nobody has come to check since yesterday. we have been waiting for a response for a while now",electricity,medium,train,Electricity & Streetlights,1
"PLEASE BE INFORMED THAT THERE HAVE BEEN REPEATED MOBILE SNATCHING INCIDENTS HERE SINCE THIS MORNING AT SECTOR 5C, NEW KARACHI. WE REQUEST IMMEDIATE ATTENTION.",safety,medium,train,Public Safety,0
"YAHAN MOBILE SNATCHING BOHOT HO RAHI HAI AT ON STADIUM ROD NEAR A MADRASSA AND NOBODY HAS COME TO CHECK FOR THE PAST SIX WEEKS. PLEASE TREAT THIS AS URGENT, THE SITUTAION IS GETTING WORSE DAIILY",safety,high,train,Public Safety,1
please look into it in the coming days. It is causing inconvenience and should be fixed soon rash driving by mini buses has caused several near misses at Gadap Town. Thank you.,safety,medium,train,Public Safety,0
we have been waiting for a response for a while now the pole mounted box is open and childern can reach the terminals at near the community centre in Landhi. We request immediate attention??!,electricity,medium,train,Electricity & Streetlights,0
"to the concerned department, construction malba has been dumped on the empty plot since this morning at near the petrol pump in manghopir. shukriya.",waste,medium,train,Sanitation & Solid Waste,0
"a very large pothole has formed in the middle of the road at st 14, dha phase 6 & nobody has come to check for two days now. it is causing inconvenience & should be fixed soon??!",road,medium,train,Roads & Infrastructure,0
"We the residents of Malir near a maternity home report that patch dala tha wo dobara ukhar gaya. current is passing through the water where children walk Again, patch dala tha wo dobara ukhar gaya.",road,critical,test,Roads & Infrastructure,1
I want to report that bijli ka khamba tirha ho gaya hai for several months at near the flyover ramp in Orangi Town. Thank you.,electricity,high,train,Electricity & Streetlights,1
"Kindly note that gali me kooray ka bara dher lag gaya hai since Ramzan at Gali No 7, Gulberg Town near a madrassa. We request immediate attention.",waste,high,train,Sanitation & Solid Waste,1
kachra kundi bhar gayi hai aur sarak par gir raha hai at Kemari Plot 22 near the children's park and nobody has come to check since Ramzan. elderly patients live in this lane and cannot step outside,waste,high,train,Sanitation & Solid Waste,1
the drain is blocked and the water is not going anywhere at near the petrol pump in Liaquatabad and nobody has come to check since yesterday. we have been waiting for a response for a while now,drainage,medium,train,Drainage & Sewerage,0
"someone is going to be killed if this is not fixed today The reason is that line ka joint phat gaya hai aur pani zaya ho raha hai, right at on Hub River Road near a government girls scholo.",water,critical,test,Water Supply,1
"To the concerned department, yahan mobile snatching bohot ho rahi hai at Gadap Town Block 2, for the last three days. there is no urgency, just registering it formally Shukriya.",safety,low,train,Public Safety,1
the electric pole is leaning dangerously. Location: Saddar Block 2 near a primary school. there is a government school right next to it and hundreds of children pass daily Please take action.,electricity,high,train,Electricity & Streetlights,0
AT SHAH FAISAL COLONY BLOCK 5 THE SEWERAGE LINE IS CHOKED AND DIRTY WATER IS ON THE STREET SINCE THIS MORNING THERE IS NO URGENCY JUST REGISTERING IT FORMALLY THERE IS NO URGENCY PLEASE HANDLE IT IN THE ROUTINE SCHEDULE,drainage,low,train,Drainage & Sewerage,0
NALI BAND HAI AUR PZNI KHARA HAI AT BLOCK A JAMSHED ROAD AND NOBOODY HAS COME TO CHECK SINCE THE LAST MONSOON IT IS CAUSING INCONVENIENCE AND SHOULD BE FIXED SOON BARA MEHERBANI HO GI JALDI MASLA HAL KARAIN AGAIN NALI BAND HAI AUR PANI KHARA HAI,drainage,medium,train,Drainage & Sewerage,1
sarak par bara gaddha ban gaya hai at near the union council office in bahadurabad. this has been the case since ramzan. it is causing inconvenience and should be fixed soon,road,medium,train,Roads & Infrastructure,1
"please be informed that an illegal gas cylinder refilling shop could explode any day in the crowded market since friday at sector 5-c, pechs. we request immediate attention.",safety,medium,train,Public Safety,0
"For since the last monsoon now, patch dala tha wo dobara ukhar gaya around near the flyover ramp in Malir near a maternity home. Requesting the department to act. Again, patch dala tha wo dobara ukhar gaya.",road,critical,test,Roads & Infrastructure,1
"Janab, the following problem at Sector 5-C, DHA Phase 6 near Jinnah Hospital emergency gate: the open sewage channel behind the market has stopped flowing entirely. a large number of residents are suffering because of it",drainage,high,test,Drainage & Sewerage,0
For for two days now now clean drinking water has not reached our houses around on Tariq Road Meherbani ho gi,water,high,test,Water Supply,0
KINDLY NOTE THAT PANI BILKUL NAHI AA RAHA SINCE THIS MORNING AT NEAR THE PETROL PUMP IN MALIR KINDLY RESOLVE IT SOON,water,medium,train,Water Supply,1
